mass,mass_final,type,remnant_mass,Z,lifetime,Ti,N,Na,Sc,Cr,B,Mg,Fe,Zn,H,He,F,Ga,Li,Cl,Cu,K,Ni,Ge,Mn,O,S,Ar,Ca,P,Si,V,C,Ne,Be,Al,Co
20.0,19.72,cc,1.85,0.001,,8.179344302590491e-06,0.0007224011446524,0.0001013493971431,1.209473468669893e-08,0.0001333842057617,7.09445780002201e-13,0.0138215940280776,0.0041458566734463,1.950197576431308e-06,0.4720306176336665,0.3326141629469515,1.5734353921122225e-07,1.3046635101855788e-07,4.742703833165231e-12,1.8758037592796952e-06,9.90536373183815e-07,8.946503244822233e-07,3.977263911093635e-05,4.760062017204982e-07,2.127777398585923e-05,0.1220689033732567,0.003169800665372,0.0005715352485705,0.0005155951520483,1.1030845987405967e-05,0.0072728551366508,4.613071794862143e-07,0.007168347669895,0.0351820713617713,8.007162315731236e-25,0.0003908391116349,3.477236222425943e-06
25.0,24.42,cc,1.91,0.001,,5.562542977349404e-06,0.0004091525320772,0.0003595044752287,1.4397954261323802e-08,0.0001031271249219,1.8575138522325157e-12,0.008120179574604,0.0032865463631732,2.258056940919065e-06,0.4354936782746088,0.3097393683446414,2.7196135826944963e-08,1.9286148609304105e-07,4.052757506222994e-14,1.5064526217866572e-06,1.3064810348238265e-06,7.789964271145763e-07,1.8339616431013373e-05,7.903321498075428e-07,1.328700100041919e-05,0.1697580309782599,0.0024601328066724,0.0004165007368937,0.0003533243400022,4.754879956671749e-06,0.005364348915604,3.347568803888221e-07,0.0095585574243754,0.0543024621922783,9.109816739417838e-27,0.0002244125587027,1.5197840609175125e-06
30.0,29.05,cc,2.06,0.001,,6.623678562768815e-06,0.0002288501461054,0.0002536051512005,1.5600783353733547e-08,0.000115890899736,4.565632095227708e-13,0.0108621378317393,0.0027795198508936,3.128796251480756e-06,0.4103523583564985,0.3098028697087443,8.835514742991275e-08,2.7985291466294536e-07,4.1404922645996683e-14,1.948249485170043e-06,1.5526845991867514e-06,1.023644660381608e-06,2.6251460330536e-05,1.2147908554589675e-06,1.8521309147441964e-05,0.1970458642052638,0.0029023336536959,0.0005051074868608,0.0004329658047337,7.541610910335649e-06,0.0061641208900904,3.685999301107481e-07,0.0044762418247316,0.0536848463591815,0.0,0.0003227365845452,1.992611902289664e-06
40.0,37.81,cc,3.17,0.001,,8.0377025487827e-06,0.0002506136539633,2.594806856145212e-05,2.8600537792178343e-08,0.000124949752727,2.603456212332364e-13,0.0203928753943181,0.0023807929528878,3.209458937991432e-06,0.3719223160474825,0.3142634300401378,1.2887540718854558e-07,2.93789798490219e-07,1.925989334424453e-13,1.1967825844287528e-05,1.2397410534916015e-06,3.639182018318912e-06,3.044285066004144e-05,1.4263076664484422e-06,2.266131321033485e-05,0.241318620453687,0.0095707304695334,0.0013388358133791,0.0010562167074176,0.0001003325317709,0.0258656113658012,5.619919182601172e-07,0.0021329888981259,0.0083030071342299,1.1705462039943956e-17,0.0008678187374441,1.2743384782402042e-06
13.0,12.86,cc,1.61,0.004,,8.559109876179724e-06,0.000807341692918,0.0001332710314451,1.9191028528103187e-08,0.0001063547254609,1.2483053278696749e-11,0.0041242941864562,0.0066580163820853,1.1118535611406892e-05,0.5659576468704514,0.3589584154091975,1.7591776150761259e-07,7.205520433468374e-08,2.8292551502264712e-16,3.260697902691606e-06,1.271405639986836e-06,1.7483195799075166e-06,0.0002134913076397,2.199860492388125e-07,1.77694708593548e-05,0.0343872578886376,0.0024271862215653,0.0004145821900402,0.0003496673543741,1.33271031445161e-05,0.0055349236306261,1.1643099275910477e-06,0.0078175010098645,0.0118375772497306,9.50666690975482e-18,0.0001963526529958,1.7414081442167703e-05
15.0,14.39,cc,1.5,0.004,,6.746443238470626e-06,0.0010013431124449,6.353079776370794e-05,1.9237653046885922e-08,8.152265763344473e-05,1.0898751020514e-11,0.0060877863351597,0.005849557479223,9.509474428684106e-06,0.5515311014651584,0.3839896829391926,1.6522661689462507e-07,2.9399477841813564e-08,5.590167204934814e-15,5.321383060549896e-06,5.336897296878029e-07,2.673811144225834e-06,0.0001715502196219,8.473100170610278e-08,1.3264672060554406e-05,0.0227325916072336,0.0027568790973687,0.0003726809682237,0.0002415155469027,2.1254503769543317e-05,0.0081767782567429,7.419636981221008e-07,0.0068502334795058,0.0097659790550153,8.377687617192255e-18,0.0002567606112306,1.0161824794927643e-05
18.0,16.59,cc,1.61,0.004,,1.0734060105009654e-05,0.0084238441965811,0.0004425521951135,9.011243791905373e-08,0.0001319713340813,5.687096082002501e-11,0.005604326139025,0.006280903672912,9.628013366995783e-06,0.4986221564854337,0.4045196733152292,8.076744435707779e-07,3.85147234661437e-07,3.36519893162155e-14,1.0346242872187651e-05,3.831447360410136e-06,5.28504775898469e-06,0.0018211323203716,1.343009074763971e-06,3.123897847860529e-05,0.0383218160990429,0.0028935964890214,0.0005143451081534,0.0004123198726914,4.9127966154387816e-05,0.0067210528696811,8.237344825065738e-07,0.011033767398533,0.0136950880650757,1.0546492734229993e-17,0.0004198572107487,1.795573762979663e-05
20.0,19.52,cc,1.76,0.004,,7.0481796123394026e-06,0.0010377312580718,0.0002291953581193,2.0329121444986613e-08,0.0001012350828611,2.5920587169406584e-09,0.0056639973266946,0.0043745172115042,5.1550541109512415e-06,0.5040045344394236,0.3958927461343733,3.018395871056184e-07,1.531723277849407e-07,8.786516592631069e-14,4.229133020826855e-06,1.334626532537902e-06,1.934279301809204e-06,0.0001102897073407,5.372294143633582e-07,1.8527094059281425e-05,0.056053413352899,0.0029622154147725,0.0004671941831514,0.0003676893281474,2.1793268695872077e-05,0.007145038584321,4.516387448779421e-07,0.0055013643551347,0.0157349652518428,3.102865904761114e-17,0.0002888875152708,3.497059395384124e-06
25.0,24.03,cc,1.68,0.004,,4.795584622756989e-06,0.0014115701027705,0.0002792286556011,2.367858999498048e-08,5.998233611577516e-05,7.59055177386261e-12,0.0109792707382385,0.0034555104587957,1.0156149338111192e-05,0.4557011659411336,0.3788657050878934,3.797509716176114e-06,4.606155902797145e-07,4.557011661730052e-15,3.721559521852592e-06,3.3239379162765045e-06,1.3341947253888678e-06,0.0001167265133582,1.8621200584731817e-06,1.045432086570836e-05,0.0983313762931174,0.0015945376950227,0.000223264844267,0.0001699516053616,1.7245161769929177e-05,0.0054733284156321,6.308244434172176e-07,0.0059144203383122,0.0368560827398662,2.180217342934051e-25,0.0005003777508373,9.694818922473135e-06
30.0,27.56,cc,2.56,0.004,,1.0589373933832464e-05,0.0008053379904381,0.0005647986551181,4.3661740005588545e-08,0.0001629203780162,6.705481905445432e-12,0.0092999506211903,0.0033124439706625,1.0993865906838363e-05,0.4045720862903186,0.3172559767013048,4.646570496007588e-07,1.1736596166639854e-06,3.209430303898868e-14,8.04737941937866e-06,4.874893356587271e-06,4.6096823341991965e-06,5.617944069526415e-05,7.756968763378184e-06,3.0523161361705016e-05,0.1918778654323486,0.0077097059312381,0.0012769226360253,0.0010392108590221,4.0857775051101205e-05,0.0161504375714249,7.111576144139611e-07,0.0073038880833752,0.0378095046357936,1.5141410754231622e-17,0.0006769572532976,5.167306844698093e-06
