mass,mass_final,type,remnant_mass,Z,lifetime,Ti,N,Na,Sc,Cr,B,Mg,Fe,Zn,H,He,F,Ga,Li,Cl,Cu,K,Ni,Ge,Mn,O,S,Ar,Ca,P,Si,V,C,Ne,Be,Al,Co
20.0,19.72,cc,1.85,0.001,,7.303749999999999e-06,0.0006450685,9.05e-05,1.08e-08,0.0001191055,6.335e-13,0.012342,0.003702045,1.7414300000000002e-06,0.4215,0.297008,1.4050000000000002e-07,1.165e-07,4.235000000001201e-12,1.675e-06,8.845e-07,7.988785e-07,3.551500000000001e-05,4.2505e-07,1.9e-05,0.1090014945,0.00283047525,0.000510352715,0.000460400975,9.85e-06,0.0064943,4.119245000000001e-07,0.00640098,0.03141585,7.15e-25,0.000349,3.1050000000000003e-06
25.0,24.42,cc,1.91,0.001,,5.007e-06,0.0003682896,0.0003236,1.296e-08,9.28276e-05,1.6720000000000001e-12,0.0073092,0.0029583119999999,2.0325400000000003e-06,0.392,0.27880504,2.448e-08,1.736e-07,3.6480000094e-14,1.356e-06,1.1759999999999998e-06,7.011963999999999e-07,1.6508e-05,7.114000000000001e-07,1.196e-05,0.1528039359999999,0.00221443412,0.000374903924,0.0003180370879999,4.28e-06,0.0048286,3.01324e-07,0.008603924,0.0488791599999999,8.2e-27,0.000202,1.368e-06
30.0,29.05,cc,2.06,0.001,,5.972333333333334e-06,0.0002063459666666,0.0002286666666666,1.4066666666666669e-08,0.0001044946666666,4.116666666666666e-13,0.0097939999999999,0.0025061933333333,2.821123333333333e-06,0.37,0.2793381333333334,7.966666666666668e-08,2.523333333333333e-07,3.7333333334250005e-14,1.7566666666666666e-06,1.4e-06,9.229836666666664e-07,2.367e-05,1.0953333333333331e-06,1.6700000000000003e-05,0.1776691866666666,0.0026169301333333,0.0004554373,0.0003903897333333,6.8e-06,0.0055579666666666,3.323533333333333e-07,0.0040360666666666,0.0484057,0.0,0.0002909999999999,1.796666666666667e-06
40.0,37.81,cc,3.17,0.001,,6.969625e-06,0.0002173112499999,2.25e-05,2.48e-08,0.000108346,2.2575000000000002e-13,0.0176829999999999,0.002064425,2.782975e-06,0.3225000000000018,0.272503025,1.1175e-07,2.5475e-07,1.67005725e-13,1.03775e-05,1.075e-06,3.1555950000000004e-06,2.63975e-05,1.236775e-06,1.965e-05,0.2092513725,0.0082989388999999,0.0011609267074999,0.0009158629999999,8.7e-05,0.0224284999999999,4.873125e-07,0.00184955,0.0071996749999999,1.015e-17,0.0007524999999999,1.105e-06
13.0,12.86,cc,1.61,0.004,,7.410384615384616e-06,0.0006989876923076,0.0001153846153846,1.6615384615384617e-08,9.208076923076924e-05,1.0807692307692308e-11,0.0035707692307692,0.0057644384615384,9.626307692307692e-06,0.4900000000000008,0.3107823076923077,1.5230769230769233e-07,6.238461538461539e-08,2.449538461538461e-16,2.8230769230769237e-06,1.1007692307692307e-06,1.513676153846154e-06,0.0001848384615384,1.904615384615385e-07,1.5384615384615384e-05,0.0297721153846153,0.0021014315384615,0.0003589407692307,0.0003027382076923,1.1538461538461538e-05,0.0047920769230769,1.008046923076923e-06,0.0067683076923076,0.0102488461538461,8.230769230769231e-18,0.00017,1.5076923076923076e-05
15.0,14.39,cc,1.5,0.004,,5.798066666666666e-06,0.00086058,5.46e-05,1.6533333333333332e-08,7.006266666666668e-05,9.366666666666667e-12,0.005232,0.0050272599999999,8.172686666666665e-06,0.4740000000000013,0.3300106,1.42e-07,2.5266666666666668e-08,4.804333333333333e-15,4.573333333333333e-06,4.586666666666666e-07,2.297942e-06,0.0001474346666666,7.282e-08,1.14e-05,0.0195369733333333,0.0023693327333333,0.0003202915999999,0.0002075646666666,1.8266666666666662e-05,0.0070273333333333,6.376626666666666e-07,0.0058872666666666,0.0083931333333333,7.2e-18,0.0002206666666666,8.733333333333335e-06
18.0,16.59,cc,1.61,0.004,,8.93388888888889e-06,0.0070111111111111,0.0003683333333333,7.5e-08,0.0001098388888888,4.7333333333333325e-11,0.0046644444444444,0.0052275555555555,8.013333333333332e-06,0.4150000000000025,0.3366791111111111,6.722222222222222e-07,3.205555555555556e-07,2.8008333333333332e-14,8.611111111111112e-06,3.1888888888888887e-06,4.398711111111111e-06,0.0015157166666666,1.1177777777777775e-06,2.6e-05,0.031895,0.0024083216666666,0.0004280861111111,0.0003431711666666,4.088888888888889e-05,0.0055938888888888,6.85588888888889e-07,0.0091833333333333,0.0113983333333333,8.777777777777778e-18,0.0003494444444444,1.4944444444444444e-05
20.0,19.52,cc,1.76,0.004,,6.258e-06,0.00092139,0.0002034999999999,1.805e-08,8.988549999999999e-05,2.30146e-09,0.005029,0.003884085,4.577115000000001e-06,0.4475000000000043,0.35150875,2.68e-07,1.36e-07,7.80145e-14,3.755e-06,1.185e-06,1.717425e-06,9.7925e-05,4.77e-07,1.645e-05,0.0497692,0.002630118,0.0004148165,0.0003264672499999,1.935e-05,0.006344,4.01005e-07,0.0048846,0.0139709,2.755e-17,0.0002565,3.1050000000000003e-06
25.0,24.03,cc,1.68,0.004,,4.2936e-06,0.001263812,0.00025,2.12e-08,5.37036e-05,6.796000000000001e-12,0.00983,0.0030938,9.09304e-06,0.408,0.3392074,3.4e-06,4.124e-07,4.080000002076e-15,3.332e-06,2.976e-06,1.194536e-06,0.000104508,1.6672e-06,9.36e-06,0.0880384,0.0014276272,0.00019989428,0.00015216168,1.544e-05,0.0049004,5.647920000000001e-07,0.00529532,0.0329981199999999,1.952e-25,0.000448,8.68e-06
30.0,27.56,cc,2.56,0.004,,8.812e-06,0.000670166,0.00047,3.633333333333333e-08,0.000135575,5.58e-12,0.007739,0.0027564666666666,9.1486e-06,0.336666666666669,0.2640061333333333,3.866666666666667e-07,9.766666666666667e-07,2.670743333333333e-14,6.696666666666667e-06,4.056666666666666e-06,3.83597e-06,4.675e-05,6.455e-06,2.54e-05,0.1596721166666666,0.0064156699999999,0.0010625975,0.0008647844666666,3.4e-05,0.0134396666666666,5.917933333333332e-07,0.0060779666666666,0.0314633666666666,1.26e-17,0.0005633333333333,4.3e-06
40.0,32.93,cc,2.81,0.004,,7.748499999999999e-06,0.00065012525,0.0006525,4.1e-08,0.0001122725,8.642500000000002e-13,0.0101075,0.002131375,1.456705e-05,0.2575,0.2030044999999999,2.6e-08,1.5725e-06,1.17750000535e-13,6.725e-06,6.225e-06,2.8218525e-06,5.0775e-05,9.96e-06,2.095e-05,0.1990249,0.0057204225,0.0008985287499999,0.00070877835,3.7e-05,0.0133512499999999,5.5242e-07,0.0114592,0.047101,1.5e-23,0.00076,4.775e-06
13.0,12.73,cc,1.6,0.02,,7.599230769230769e-06,0.0036954538461538,7.115384615384616e-05,5.6076923076923084e-08,5.6873076923076926e-05,4.1538461538461546e-11,0.0023030769230769,0.0067277692307692,1.0154615384615385e-05,0.4738461538461545,0.3307843076923076,1.0923076923076922e-06,2.423076923076924e-07,4.330770246153847e-12,1.1176923076923078e-05,2.2e-06,4.231384615384615e-06,0.0003618153846153,6.615384615384615e-07,2.161538461538461e-05,0.0171052307692307,0.0030111823076923,0.0005366843076923,0.0003832501538461,2.8846153846153845e-05,0.0059876923076923,9.092538461538462e-07,0.0083076923076923,0.0030342307692307,3.546153846153846e-20,0.0001153846153846,1.0846153846153848e-05
15.0,14.14,cc,1.5,0.02,,8.437333333333335e-06,0.00410398,7.066666666666666e-05,6.2e-08,9.393333333333334e-05,4.92e-11,0.00274,0.005984,6.355266666666667e-06,0.4526666666666673,0.3500145333333333,1.0933333333333332e-06,1.0940000000000001e-07,4.726878e-14,1.0793333333333332e-05,1.3453333333333333e-06,5.060953333333332e-06,0.00022168,3.159333333333333e-07,2.5333333333333334e-05,0.0110234666666666,0.0024317693333333,0.0003701373333333,0.0002711128666666,4.706666666666667e-05,0.0059166666666666,6.657733333333334e-07,0.0044166666666666,0.0023833333333333,1.0333333333333335e-19,0.0001626666666666,6e-06
18.0,16.76,cc,1.58,0.02,,8.714444444444445e-06,0.0036730722222222,0.0001627777777777,7e-08,7.934444444444445e-05,4.35e-11,0.0064433333333333,0.0051636666666666,5.185722222222221e-06,0.4183333333333333,0.3394572222222222,2.4833333333333337e-07,1.0944444444444445e-07,1.5555571e-14,1.2861111111111112e-05,1.4794444444444446e-06,4.6993333333333335e-06,0.00030155,5.791666666666667e-07,2.25e-05,0.0434764444444444,0.0021918333333333,0.0003480166666666,0.0002567129444444,9.666666666666668e-05,0.0063766666666666,6.37e-07,0.0076322222222222,0.0086573333333333,4.2e-19,0.0005555555555555,1.0111111111111113e-05
20.0,18.36,cc,1.55,0.02,,7.1135e-06,0.0036062,0.0008399999999999,6.5e-08,6.051999999999999e-05,4.005e-11,0.0047435,0.0046878,1.2871e-05,0.3965,0.3380119,3.025e-06,5.904999999999999e-07,2.1600000000545002e-13,1.046e-05,8.599999999999999e-06,4.15115e-06,0.0002526,2.4055e-06,1.8e-05,0.05280855,0.0015017594999999,0.0002667709999999,0.00019103925,3.29e-05,0.003384,6.66945e-07,0.0123225,0.0202425,2.36e-24,0.000495,1.46e-05
25.0,21.63,cc,1.69,0.02,,7.7316e-06,0.005224,0.000744,1.12e-07,9.0436e-05,3.3120000000000004e-11,0.011064,0.0038658799999999,2.67092e-05,0.3364000000000001,0.28960884,4.76e-06,2.212e-06,2.7720000003812e-14,1.3280000000000002e-05,1.76e-05,4.096e-06,0.00019452,1.324e-05,2.2000000000000003e-05,0.0974256,0.002100368,0.0003528272,0.0002653256,6e-05,0.00565,5.79844e-07,0.008744,0.0348555999999999,8.92e-22,0.00108,1.556e-05
30.0,24.58,cc,2.1,0.02,,1.0317333333333334e-05,0.0034002186666666,0.0011566666666666,8.6e-08,0.0001387433333333,2.823333333333333e-11,0.00824,0.0034626666666666,1.6666333333333337e-06,0.2916666666666667,0.2786737333333333,2.603333333333333e-07,8.3e-08,1.4433333335300002e-14,1.6533333333333333e-05,3.2866666666666664e-06,4.966466666666666e-06,8.550333333333335e-05,1.8910666666666664e-06,3.4666666666666665e-05,0.1075956666666666,0.0037430633333333,0.000658247,0.000526675,8.533333333333334e-05,0.0085993333333333,8.416333333333333e-07,0.0083973333333333,0.0319523333333333,1.6399999999999998e-24,0.0011366666666666,1.7966666666666665e-05
40.0,21.83,cc,2.21,0.02,,8.353750000000001e-06,0.001452643,0.00194,1.5375e-07,0.00010447,2.545e-15,0.011405,0.002241875,7.65625e-05,0.08875,0.1177512625,1.3149999999999998e-07,7.675e-06,1.4300000008675e-14,2.1e-05,3.335e-05,3.990125e-06,0.0001465999999999,6.03e-05,2.07e-05,0.1835818,0.002824875,0.00049389175,0.000392543,8.825e-05,0.00651875,5.646749999999999e-07,0.014910775,0.05564675,1.7574999999999997e-24,0.002075,1.7375e-05
