mass,lifetime,type,Z,mass_final,remnant_mass,H,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Kr,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Xe,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U
15.0,7939000.0,hn,0.009892250062533,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.0062947699060105,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.004163189861658,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.0027879869206118,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.001874375534896,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.000700620295978,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.0002640369638765,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,0.0001000990162228,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,3.812561042971056e-05,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,7939000.0,hn,5.59474797847092e-06,15.0,1.436,0.5482753668827732,0.3544539328054023,3.455867379849527e-07,2.2907977308036365e-13,1.571208444023957e-08,0.0101811620782725,1.3087178989094129e-06,0.0521022619631623,4.819579276486664e-07,0.0132306248308055,9.873154092377624e-05,0.0037455209642063,0.0001075259010631,0.0048645887039967,1.2040410217470347e-05,0.0029261702947874,3.0613578715276827e-06,0.0005103657122721,1.6189948250043087e-06,0.0004413744732595,3.019522686390177e-07,1.905972952884856e-05,2.030351557679073e-06,7.640809391610779e-05,1.3749924880037162e-05,0.0083690082376434,4.90285170789e-05,0.0004849910495487,1.2600979021640133e-05,1.6252832745825438e-05,6.670701639188411e-09,2.5544010101099537e-08,1.2625391211545325e-11,3.6872776490303277e-10,3.143343156085637e-13,7.933883932345959e-12,3.2411752742232435e-17,3.2211252168462883e-15,1.2341162437426888e-17,2.4469298754932488e-17,6.364734119498652e-18,9.566143647241036e-17,1.977864889522204e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
